#DeCS_code	Term_Spanish	Synonyms
314	glándulas suprarrenales	Glándula Adrenal|Glándula Suprarrenal|Glándulas Adrenales|Glándulas Suprarrenales|glándula suprarrenal|glándulas adrenales
315	hiperplasia suprarrenal congénita	Hiperplasia Suprarrenal Congénita
316	médula suprarrenal	Médula Suprarrenal|médula adrenal
317	tumor de restos suprarrenales	Tumor de Resto Suprarrenal|Tumor de Restos Corticoadrenales|tumor de restos corticoadrenales|tumor de restos corticosuprarrenales|tumor de restos de la corteza suprarrenal
318	suprarrenalectomía	Adrenalectomía
319	agonistas adrenérgicos alfa	Agonistas Adrenérgicos alfa|Agonistas alfa-Adrenérgicos|Agonistas de los Receptores Adrenérgicos alfa|Agonistas de los Receptores alfa-Adrenérgicos|adrenérgicos alfa|agonistas alfa-adrenérgicos|agonistas alfaadrenérgicos|agonistas de los receptores adrenérgicos alfa|agonistas de los receptores alfa-adrenérgicos|agonistas de los receptores alfaadrenérgicos|agonistas de receptores adrenérgicos alfa|alfa adrenérgicos|alfa-Agonistas Adrenérgicos|alfa-agonistas adrenérgicos
320	antagonistas adrenérgicos alfa	Agentes Bloqueadores Adrenérgicos alfa|Agentes Bloqueadores alfa-Adrenérgicos|Antagonistas Adrenérgicos alfa|Antagonistas alfa Adrenérgicos|Antagonistas alfa-Adrenérgicos|Bloqueadores Adrenérgicos alfa|Bloqueadores alfa-Adrenérgicos|Bloqueadores de los Receptores Adrenérgicos alfa|Bloqueadores de los alfa-Receptores Adrenérgicos|agentes bloqueantes adrenérgicos alfa|agentes bloqueantes alfa adrenérgicos|alfa bloqueantes|alfa-Antagonistas Adrenérgicos|alfa-Bloqueadores Adrenérgicos|alfa-antagonistas adrenérgicos|alfa-bloqueantes adrenérgicos|antagonistas alfa-adrenérgicos|antagonistas alfaadrenérgicos|bloqueantes adrenérgicos alfa|bloqueantes alfa|bloqueantes alfa adrenérgicos|bloqueantes alfa-adrenérgicos|bloqueantes de los receptores adrenérgicos alfa|bloqueantes de los receptores alfa adrenérgicos|bloqueantes de receptores adrenérgicos alfa
321	agonistas adrenérgicos beta	Agonistas Adrenérgicos beta|Agonistas beta-Adrenérgicos|Agonistas de los Receptores Adrenérgicos beta|Agonistas de los Receptores beta-Adrenérgicos|Agonistas de los beta-Receptores Adrenérgicos|agonistas beta-adrenérgicos|agonistas de los receptores adrenérgicos beta|agonistas de los receptores betaadrenérgicos|beta-Agonistas Adrenérgicos
322	antagonistas adrenérgicos beta	Agentes Bloqueadores Adrenérgicos beta|Agentes Bloqueadores beta-Adrenérgicos|Antagonistas Adrenérgicos beta|Antagonistas beta Adrenérgicos|Antagonistas beta-Adrenérgicos|Antagonistas de Adrenoceptores beta|Antagonistas de beta-Adrenoceptores|Antagonistas de los Receptores beta-Adrenérgicos|Bloqueadores Adrenérgicos beta|Bloqueadores beta Adrenérgicos|Bloqueadores de los Receptores Adrenérgicos beta|Bloqueadores de los Receptores beta Adrenérgicos|Bloqueadores de los Receptores beta-Adrenérgicos|agentes bloqueantes adrenérgicos beta|agentes bloqueantes betaadrenérgicos|antagonistas beta-adrenérgicos|antagonistas betaadrenérgicos|antagonistas de los receptores betaadrenérgicos|beta bloqueantes|beta bloqueantes adrenérgicos|beta-Antagonistas Adrenérgicos|beta-bloqueantes adrenérgicos|betabloqueantes adrenérgicos|bloqueantes adrenérgicos beta|bloqueantes beta adrenérgicos|bloqueantes de los receptores adrenérgicos beta|bloqueantes de los receptores beta adrenérgicos|bloqueantes de los receptores betaadrenérgicos|bloqueantes de receptores adrenérgicos beta
323	fibras adrenérgicas	Fibras Adrenérgicas|Fibras Simpáticas|fibras simpáticas
325	agonistas adrenérgicos	Adrenomiméticos|Agonistas Adrenérgicos|adrenomiméticos
326	adrenocromo	Adrenocromo
327	adrenodoxina	Adrenodoxina
328	adrenoleucodistrofia	Adrenoleucodistrofia|Adrenoleucodistrofia Ligada a X|Adrenoleucodistrofia Ligada al X|Adrenomieloneuropatía|Complejo de Schilder-Addison|adrenoleucodistrofia ligada a X|adrenoleucodistrofia ligada al cromosoma X|adrenomieloneuropatía|complejo de Schilder-Addison
330	adsorción	Adsorción
331	adulto	Adulto|Adultos|adultos
332	publicidad como asunto	Publicidad como Asunto|Publicidad como Tema|Telemercadotecnia|telemercadotecnia
333	Aedes	Aedes aegypti
334	aequorina	Aequorina
336	aerobiosis	Aerobiosis
337	Aeromonas	-
338	aerofagia	Aerofagia|Deglución de Aire|deglución de aire
339	propelentes de aerosoles	Propelentes de Aerosol|Propelentes de Aerosoles|Propelentes en Aerosol
340	aerosoles	Aerosoles
341	medicina aeroespacial	Medicina Aeroespacial|Medicina Aeronáutica|Medicina Espacial|medicina aeronáutica|medicina espacial
343	beta-aminoetil isotiourea	2-Aminoetilisotiuronio Bromuro|beta-Aminoetil Isotiourea|beta-Aminoetilisotiuronio Diacetato|beta-Aminoetilisotiuronio Dihidrobromuro|bromuro de 2-aminoetilisotiuronio|diacetato de beta-aminoetilisotiuronio|dihidrobromuro de beta-aminoetilisotiuronio
344	afecto	Afecto|Estado de Ánimo|Humor (Estado de Ánimo)
346	trastornos afectivos psicóticos	Depresión Reactiva Psicótica|Psicosis Afectivas|Trastornos Psicóticos Afectivos|Trastornos Psicóticos de Humor|depresión reactiva psicótica|psicosis afectivas|trastornos del humor psicóticos
347	síntomas afectivos	Alexitimia|Síntomas Afectivos|Trastornos Emocionales|alexitimia|alteraciones emocionales
348	síndrome del asa aferente	Síndrome del Asa Aferente
351	Afganistán	-
352	afibrinogenemia	Afibrinogenemia|Afibrinogenemia Congénita|Afibrinogenemia Familiar|Deficiencia de Fibrinógeno|afibrinogenemia congénita|afibrinogenemia familiar|deficiencia de fibrinógeno
353	aflatoxinas	Aflatoxinas
354	África	-
355	África Central	-
356	África Oriental	-
357	África del Norte	Maghreb|Magreb|Norte de África|Sahara|África Francesa|África Septentrional|África francófona
358	África del Sur	África Austral|África Meridional
359	África Occidental	-
360	enfermedad equina africana	Enfermedad Equina Africana|Peste Equina|peste equina
361	virus de la enfermedad equina africana	Virus de la Enfermedad Equina Africana|Virus de la Enfermedad de los Caballos Africanos|Virus de la Enfermedad del Caballo Africano
362	fiebre porcina africana	Fiebre Porcina Africana|Infección por Asfivirus|Infección por el Virus de la Fiebre Porcina Africana|Peste Porcina Africana|infección por Asfivirus|infección por el virus de la fiebre porcina africana|peste porcina africana
363	virus de la fiebre porcina africana	Virus de la Enfermedad del Jabalí|Virus de la Fiebre Porcina Africana|virus de la enfermedad del jabalí
365	imagen remanente	Postimagen|postimagen
366	agammaglobulinemia	Agammaglobulinemia|Hipogammaglobulinemia|hipogammaglobulinemia
367	ágar	Agar
369	Agaricales	Agaricaceae|Callampas|Champiñon|Hongos Comestibles|Seta|setas
374	ageusia	Ageusia|Ageusia Histérica|Ageustia|Hipoageusia|Pérdida del Sentido del Gusto|ageusia histérica|ceguera para el sabor|hipoageusia|pérdida del sentido del gusto
375	aglutinación	Aglutinación
377	aglutininas	Aglutininas
378	agresión	Agresividad|Agresión|Comportamiento Agresivo|agresividad|comportamiento agresivo|conducta agresiva
380	agmatina	Agmatina|agmantina
381	agnosia	Agnosia|Agnosia Auditiva|Agnosia Digital|Agnosia Sensorial|Agnosia Táctil|Agnosia Visual|Agnosia del Tacto|Astereognosia|agnosia auditiva|agnosia digital|agnosia sensitiva|agnosia táctil|agnosia visual|astereognosia
382	conducta agonística	Conducta Agonística
383	agorafobia	Agorafobia
384	agranulocitosis	Agranulocitosis|Granulocitopenia|granulocitopenia
385	agrafia	Agrafia|Agrafia Pura|Disgrafía|agrafia pura|disgrafia
386	enfermedades de los trabajadores agrícolas	Enfermedades de los Agricultores|Enfermedades de los Trabajadores Agrícolas|enfermedades de los agricultores
387	agricultura	Agricultura
389	ayuda a familias con hijos dependientes	Ayuda a Familias con Hijos Dependientes
390	ainhum	Ainhum|Dactilólisis Espontánea|dactilólisis espontánea
391	aire	Aire
392	aire acondicionado	Aire Acondicionado|Control del Clima|Revitalización del Aire|climatización|revitalización del aire
393	ionización del aire	Ionización del Aire
394	microbiología del aire	Microbiología del Aire
395	movimientos del aire	Movimientos del Aire|movimientos aéreos
396	contaminantes atmosféricos	Contaminantes Ambientales del Aire|Contaminantes Atmosféricos|Contaminantes Atmosféricos Ambientales|Contaminantes del Aire|Contaminantes del Aire Ambiental|Contaminantes del Aire en el Ambiente|Fuentes de Contaminación Atmosférica|Fuentes de Contaminación del Aire|contaminantes ambientales del aire|contaminantes atmosféricos ambientales|contaminantes atmosféricos del ambiente|contaminantes atmosféricos en el ambiente|contaminantes del aire|contaminantes del aire ambiental|contaminantes del aire en el ambiente|fuentes de contaminación atmosférica|fuentes de contaminación del aire
398	contaminantes atmosféricos del entorno laboral	Contaminantes Ambientales Laborales|Contaminantes Ocupacionales del Aire|Contaminantes del Ambiente de Trabajo|contaminantes ambientales ocupacionales|contaminantes del aire en el entorno laboral|contaminantes ocupacionales del aire
399	contaminantes atmosféricos radiactivos	Contaminantes Atmosféricos Radiactivos|Contaminantes Radiactivos Atmosféricos|Contaminantes Radiactivos del Aire|Contaminantes Radioactivos Atmosféricos|Contaminantes Radioactivos del Aire|contaminantes atmosféricos radioactivos|contaminantes radiactivos atmosféricos|contaminantes radiactivos del aire|contaminantes radioactivos atmosféricos|contaminantes radioactivos del aire
400	contaminación del aire	Calidad del Aire|Contaminación Atmosférica|Contaminación del Aire|Polución del Aire|calidad del aire|contaminación atomosférica
401	contaminación radiactiva del aire	Contaminación Radiactiva del Aire|Contaminación Radioactiva del Aire|Contaminación del Aire por Radiactividad|Contaminación del Aire por Radioactividad|contaminación del aire por radiactividad|contaminación del aire por radioactividad|contaminación radioactiva del aire
402	presión del aire	Presión del Aire
403	sacos aéreos	Sacos Aéreos|Vejiga Aérea|Vejiga Natatoria|vejiga aérea|vejiga natatoria
405	obstrucción de las vías aéreas	Ahogo|Obstrucción de las Vías Aéreas|ahogo
407	ajmalina	Ajmalina
408	mutismo acinético	Mutismo Acinético|mutismo aquinético
409	virus de la leucemia murina AKR	Virus AKR|Virus de la Leucemia Murina AKR|virus AKR
411	alameticina	Alameticina
412	alanina	Alanina
413	alanina transaminasa	Alanina Aminotransferasa|Alanina Transaminasa|SGPT|Transaminasa Glutamico-Piruvica|alanina aminotransferasa|transaminasa glutámico-pirúvica
414	alanina racemasa	Alanina Racemasa
415	alanina-ARNt ligasa	Alanil RNAt Sintetasa|Alanil T ARN Sintetasa|Alanina-ARNt Ligasa|Alanina-RNAt Ligasa|alanil ARNt sintetasa|alanil RNAt sintetasa
418	Albania	-
419	Alberta	-
421	albúminas	Albúminas
422	albuminuria	Albuminuria
423	albuterol	Albuterol|Salbutamol|salbutamol
424	Alcaligenes	-
425	alquimia	Alquimia
426	azul alcián	Azul Alciano|Azul Alcián
428	trastorno amnésico alcohólico	Amnesia Alcohólica|Psicosis Amnésica Inducida por Alcohol|Síndrome Amnésico Inducido por Alcohol|Trastorno Amnésico Alcohólico|amnesia alcohólica|psicosis amnésica inducida por el alcohol|síndrome amnésico inducido por el alcohol
429	aversivos del alcohol	Disuasivos de Alcohol|fármacos aversivos del alcohol|fármacos disuasores del consumo de alcohol|fármacos interdictores del alcohol
431	etanol	Alcohol|Alcohol Etílico|Etanol|alcohol|alcohol etílico
433	metanol	Alcohol Metílico|Metanol|alcohol metílico
434	alcohol oxidorreductasas	Oxidorreductasas de Alcohol
435	1-propanol	1-Propanol|Alcohol Propílico|Propanol|alcohol propílico|n-Propanol|n-propanol|propanol
436	delirio confusional por abstinencia alcohólica	Alucinosis por Abstinencia Alcohólica|Delirio por Abstinencia Alcohólica|Delirio por Abstinencia de Álcohol|Delirium Tremens|Delirium por Abstinencia Alcohólica|Hiperactividad Autónoma Asociada a Abstinencia Alcohólica|alucinosis por abstinencia alcohólica|delirio por abstinencia alcohólica|delirium por abstinencia alcohólica|delirium tremens|hiperactividad neurovegetativa asociada con abstinencia alcohólica|síndrome confusional por abstinencia alcohólica
437	alcohólicos anónimos	Alcohólicos Anónimos
438	bebidas alcohólicas	Bebidas Alcohólicas|bebidas espiritosas
439	intoxicación alcohólica	Embriaguez|Envenenamiento Alcohólico|Envenenamiento por Alcohol|Intoxicación Alcohólica|Intoxicación por Alcohol|embriaguez|etilismo agudo|intoxicación etílica|intoxicación por alcohol
440	alcoholismo	Abuso de Alcohol|Alcoholismo|Envenenamiento Alcohólico Crónico|Envenenamiento por Alcohol Crónico|Intoxicación Alcohólica Crónica|Intoxicación por Alcohol Crónica|Trastorno del Consumo de Alcohol|Trastorno por Ingesta de Alcohol|abuso de alcohol|intoxicación alcohólica crónica|intoxicación crónica alcohólica|intoxicación crónica por alcohol|intoxicación por alcohol crónica|trastorno por ingesta de alcohol
441	alcoholes	Alcoholes
442	pentanoles	Alcoholes Amílicos|Alcool Pentil|Pentanoles|alcoholes amílicos|alcoholes pentílicos
443	butanoles	Alcoholes Butílicos|Butanoles|alcoholes butílicos
444	hexanoles	Alcoholes Hexílicos|Hexanoles|alcoholes hexílicos
445	octanoles	Alcoholes Octílicos|Octanoles|alcoholes octílicos
446	alcuronio	Alcuronio|Alnortoxiferina|Cloruro de Alcuronio|Dialilnortoxiferina|alloferin|alnortoxiferina|cloruro de alcuronio|dialilnortoxiferina
447	aldehído deshidrogenasa	Aldehído Deshidrogenasa|D-Glucuronolactona Deshidrogenasa|D-glucuronolactato deshidrogenasa
448	aldehído liasas	Aldehído-Liasas
449	aldehído oxidorreductasas	Aldehído Oxidorreductasas
450	aldehídos	Aldehídos
451	aldicarb	Aldicarb
453	aldosterona	Aldosterona
454	antagonistas de receptores de mineralocorticoides	Antagonistas de Aldosterona|Antagonistas de Receptores de Mineralocorticoides|antagonistas de la aldosterona|antialdosterónicos
455	aldrina	Aldrina|Aldrín|aldrín
459	Medicago sativa	Alfalfa|Mielga (Planta)
462	Phaeophyta	Algas Pardas|Feoficeas|Phaeophyceae
463	Chlorophyta	Algas Verdes|Chlorophytina|Clorofitina|Clorófitas|algas verdes|clorofitas
464	Rhodophyta	Algas Rojas|Rodoficeas|Rodofitas|Rodophyceae|algas rojas
465	Argelia	-
467	alginatos	Alginato|Alginato Bárico|Alginato Cálcico|Alginato Cálcico y Sódico|Alginato Potásico|Alginato Sódico|Alginato de Bario|Alginato de Calcio|Alginato de Calcio y Sodio|Alginato de Cobre|Alginato de Potasio|Alginato de Sodio|Alginatos|Alloid G|Calginat|Kalrostat|Kalrostat 2|Kaltostat|Sal Sódica del Poli (Ácido Manurónico)|Sal de Bario del Ácido Algínico|Sal de Calcio del Ácido Algínico|Sal de Cobre del Ácido Algínico|Sal de Potasio del Ácido Algínico|Sal de Sodio del Ácido Algínico|Vocoloid|Xantalgin|alginato|alginato bárico|alginato cálcico|alginato cálcico y sódico|alginato de calcio|alginato de calcio y sodio|alginato de cobre|alginato de potasio|alginato de sodio|alginato sódico|sal de bario del ácido algínico|sal de calcio del ácido algínico|sal de cobre del ácido algínico|sal de potasio del ácido algínico|sal de sodio del ácido algínico|sal sódica del poli(ácido manurónico)
468	alcadienos	Alcadienos|Diolefinas|Pentadienos|diolefinas|pentadienos
470	álcalis	Bases|Sustancias Alcalinas|Sustancias Básicas|bases|sustancias alcalinas|sustancias básicas|Álcali|Álcalis|álcali
471	fosfatasa alcalina	Fosfatasa Alcalina
472	alcaloides	Alcaloides|Alcaloides Vegetales|Alcaloides de Plantas|alcaloides de plantas
473	alcalosis	Alcalosis
474	alcalosis respiratoria	Alcalosis Respiratoria
475	alcanos	Alcanos
476	alcaptonuria	Alcaptonuria|acidura homogentísica
477	alquenos	Alquenos|Olefinas|Pentenos|olefinas|pentenos
479	alquilantes	Agentes Alcoylantes|Agentes Alquilantes|Alquilantes|agentes alquilantes
480	alquilación	Alquilación
481	compuestos de alquilmercurio	Alquilmercuriales|Compuestos de Alquilmercurio|alquilmercuriales|compuestos alquilo de mercurio
482	alquinos	Alquinos|Compuestos Acetilénicos|compuestos acetilénicos
483	alantoína	Alantoína
484	alantoides	Alantoides
485	alelos	Alelomorfos|Alelos|alelomorfos
488	alergia e inmunología	Alergia e Inmunología|Alergoinmunología|Alergología|Alergología e Inmunología|Inmunoalergología|Inmunología|Inmunología y Alergología|alergología|inmunología
489	aletrina	Aletrina
490	técnicos medios en salud	Asistentes de Salud|Auxiliares de Clínica|Paramédico|Paramédicos|Personal Paramédico|Profesionales Paramédicos|Trabajadores de Apoyo de la Salud|Técnicos Medios en Salud|Técnicos en Salud|auxiliares de clínica|paramédico|paramédicos|personal paramédico|profesionales paramédicos|técnicos sanitarios auxiliares
491	caimanes y cocodrilos	Caimanes|Caimanes y Cocodrilos|Cocodrilos|caimanes|cocodrilos
494	alofanato hidrolasa	Alofanato Hidrolasa|alofanato-hidrolasa
497	regulación alostérica	Regulación Alostérica
498	sitio alostérico	Sitio Alostérico|Sitios Alostéricos
499	aloxano	Aloxana|Aloxano
500	aleaciones	Aleaciones
501	compuestos alílicos	Compuestos Alílicos|Compuestos de Alilo|compuestos de alilo
502	alilamina	3-Aminopropileno|3-aminopropileno|Alilamina
503	alilestrenol	Alilestrenol
504	alilglicina	Alilglicina
505	alilisopropilacetamida	Alilisopropilacetamida
506	almanaques como asunto	Almanaques como Asunto|Almanaques como Tema
507	Aloe	Aloe vera|Zabila
508	alopecia	Alopecia|Alopecia Androgenética|Calvicie|Calvicie Femenina|Calvicie Masculina|Pseudopelada|Pérdida de Cabello|alopecia androgenética|alopecia androgénica|calvicie|calvicie masculina|pseudopelada
